Rank,Player,,
1,Luka Doncic,Slovenia,PG
2,DeAndre Ayton,,
3,Marvin Bagley III,,
4,Mohamed Bamba,,
5,Wendell Carter Jr.,,
6,Trae Young,,
7,Jaren Jackson Jr.,,
8,Kevin Knox,,
9,Miles Bridges,,
10,Michael Porter Jr.,Missouri,F
11,Mikal Bridges,,
12,Shai Gilgeous-Alexander,,
13,Troy Brown,,
14,Collin Sexton,,
15,Lonnie Walker,,
16,Josh Okogie,,
17,Zhaire Smith,,
18,Robert Williams,,
19,Jerome Robinson,,
20,Kevin Huerter,,
21,Donte DiVincenzo,,
22,Melvin Frazier,,
23,Jacob Evans,,
24,Khyri Thomas,,
25,Elie Okobo,France,PG
26,Moritz Wagner,,
27,Aaron Holiday,,
28,De'Anthony Melton,,
29,Dzanan Musa,Bosnia and Herzegovina,SF
30,Chimezie Metu,,
31,Rodions Kurucs,Latvia,SF
32,Jalen Brunson,,
33,Mitchell Robinson,Chalmette High School,C
34,Bruce Brown,,
35,Kieta Bates-Diop,,
36,Landry Shamet,,
37,Chandler Hutchison,,
38,Anfernee Simons,IMG Academy HS,SG
39,Isaac Bonga,Germany,SF
40,Jevon Carter,,
41,Gary Trent Jr.,,
42,Tony Carr,,
43,Grayson Allen,,
44,Shake Milton,,
45,Brandon McCoy,,
46,Jarred Vanderbilt,Kentucky,SF
47,Trevon Duval,,
48,Gary Clark,,
49,William McDowell-White,Australia,SG
50,Bryant Crawford,,
51,Rawle Alkins,,
52,Hamidou Diallo,,
53,Arnoldas Kulboka,Lithuania,SF
54,Iussuf Sanon,Ukraine,PG
55,Omari Spellman,,
56,Sviatoslav Mykhailiuk,,
57,Vince Edwards,,
58,Devonte' Graham,,
59,Devon Hall,,
60,Justin Jackson,,
61,Malik Newman,,
62,Alize Johnson,,
63,Kostas Antetokounmpo,,
