PLAYER,YEAR,TEAM,HT,POS,AGE
DeAndre Ayton,Freshman,Arizona,7/1,C,19.7
Luka Doncic,International,Real Madrid,6/8,PG,19
Jaren Jackson Jr.,Freshman,Michigan State,6/11,PF/C,18.5
Marvin Bagley III,Freshman,Duke,6/11,PF/C,19
Mohamed Bamba,Freshman,Texas,7/1,C,19.8
Wendell Carter Jr.,Freshman,Duke,6/10,C,18.9
Michael Porter Jr.,Freshman,Missouri,6/10,SF/PF,19.7
Trae Young,Freshman,Oklahoma,6/2,PG,19.5
Collin Sexton,Freshman,Alabama,6/2,PG,19.2
Mikal Bridges,Junior,Villanova,6/7,SF,21.5
Miles Bridges,Sophomore,Michigan State,6/6,SF/PF,20
Shai Gilgeous-Alexander,Freshman,Kentucky,6/6,PG/SG,19.7
Robert Williams,Sophomore,Texas A&M,6/10,C,20.4
Kevin Knox,Freshman,Kentucky,6/9,SF/PF,18.6
Lonnie Walker,Freshman,Miami (FL),6/4,SG,19.3
Mitchell Robinson,Freshman,None,6/11,C,20
Zhaire Smith,Freshman,Texas Tech,6/5,SF,18.8
Keita Bates-Diop,Junior,Ohio State,6/7,PF,22.1
Aaron Holiday,Junior,UCLA,6/1,PG,21.5
Troy Brown,Freshman,Oregon,6/7,SG,18.6
Dzanan Musa,International,Cedevita,6/9,SF,18.9
Anfernee Simons,HS Senior,IMG Academy,6/4,SG,18.8
De'Anthony Melton,Junior,Southern California,6/3,PG/SG,19.8
Bruce Brown,Sophomore,Miami (FL),6/3,SG,21.6
Shake Milton,Junior,Southern Methodist,6/6,PG/SG,21.5
Hamidou Diallo,Freshman,Kentucky,6/5,SG,19.6
Jalen Brunson,Junior,Villanova,6/2,PG,21.5
Chimezie Metu,Junior,Southern California,6/10,PF/C,21
Elie Okobo,International,Pau-Orthez,6/3,PG,20.4
Justin Jackson,Sophomore,Maryland,6/7,SF/PF,21.1
Landry Shamet,Sophomore,Wichita State,6/4,PG,21
Malik Newman,Sophomore,Kansas,6/4,PG/SG,21.1
Tony Carr,Sophomore,Penn State,6/3,PG,20.4
Moritz Wagner,Junior,Michigan,6/11,C,20.9
Trevon Duval,Freshman,Duke,6/3,PG,19.6
Gary Trent Jr.,Freshman,Duke,6/5,SG,19.2
Ray Spalding,Junior,Louisville,6/10,PF,21
Brandon McCoy,Freshman,Nevada-Las Vegas,6/11,C,19.8
Rawle Alkins,Sophomore,Arizona,6/5,SG,20.4
DJ Hogg,Junior,Texas A&M,6/9,SF/PF,21.5
Allonzo Trier,Junior,Arizona,6/5,SG,22.2
Billy Preston,Freshman,Igokea,6/10,PF,20.4
Matur Maker,International,CIBA,6/10,PF,20.2
Jacob Evans,Junior,Cincinnati,6/6,SG/SF,20.7
Khyri Thomas,Junior,Creighton,6/3,SG,21.9
Tyus Battle,Sophomore,Syracuse,6/7,SG/SF,20.5
Melvin Frazier,Junior,Tulane,6/6,SF,21.5
Donte DiVincenzo,Sophomore,Villanova,6/5,PG,21.1
Jontay Porter,Freshman,Missouri,6/10,C,18.3
Jerome Robinson,Junior,Boston College,6/5,PG,21.1
Rodions Kurucs,International,Barcelona 2,6/10,SF/PF,20.1
Jalen Hudson,Junior,Florida,6/5,SG,21.8
PJ Washington,Freshman,Kentucky,6/8,PF,19.6
Omari Spellman,Freshman,Villanova,6/9,PF,20.7
Josh Okogie,Sophomore,Georgia Tech,6/4,SG,19.5
Jarrey Foster,Junior,Southern Methodist,6/6,SG,21.3
Tremont Waters,Freshman,LSU,5/11,PG,
Isaac Bonga,International,Frankfurt,6/9,SF,18.4
Shamorie Ponds,Sophomore,St. John's,6/1,PG,19.7
Sagaba Konate,Sophomore,West Virginia,6/8,C,
Jarred Vanderbilt,Freshman,Kentucky,6/8,SF,19
Kerwin Roach Jr.,Junior,Texas,6/3,SG,21.4
Goga Bitadze,International,Mega Bemax,6/11,C,18.7
Kris Wilkes,Freshman,UCLA,6/7,SF/PF,19.5
Carsen Edwards,Sophomore,Purdue,6/1,PG,20
Yusuf Sanon,International,Olimpija Ljubljana,6/4,PG/SG,18.4
Karim Jallow,International,Bayern Muenchen,6/7,SF,20.9
Lindell Wigginton,Freshman,Iowa State,6/2,PG,
Kostas Antetokounmpo,Freshman,Dayton,6/10,SF,20.3
Arnoldas Kulboka,International,Capo D-Orlando,6/10,SF,20.2
Tryggvi Hlinason,International,Valencia,7/1,C,20.4
Amine Noua,International,Villeurbanne,6/8,PF,21.1
Austin Wiley,Freshman,Auburn,6/11,C,19.2
Ethan Happ,Junior,Wisconsin,6/10,PF/C,21.9
Terence Davis,Junior,Mississippi,6/4,SG,20.8
Tadas Sedekerskis,International,Nevezis,6/10,SF,20.2
Cody Martin,Junior,Nevada,6/7,SF,22.5
Doral Moore,Junior,Wake Forest,7/1,C,21.2
William McDowell-White,International,Bamberg,6/5,PG,19.9
Caleb Martin,Junior,Nevada,6/7,SF,22.5
Vanja Marinkovic,International,Partizan,6/7,SG,21.2
Chandler Hutchison,Senior,Boise State,6/7,SG/SF,21.9
Grayson Allen,Senior,Duke,6/4,SG,22.4
Devonte' Graham,Senior,Kansas,6/2,PG,23.1
Jevon Carter,Senior,West Virginia,6/2,PG,22.5
Sviatoslav Mykhailiuk,Senior,Kansas,6/8,SG,20.8
Kevin Hervey,Senior,Texas Arlington,6/7,SF,21.7
Vince Edwards,Senior,Purdue,6/8,SF/PF,22
MiKyle McIntosh,Senior,Oregon,6/7,SF/PF,23.7
Alize Johnson,Senior,Missouri State,6/9,PF,21.9
Devon Hall,Senior,Virginia,6/5,SG,22.7
Bonzie Colson,Senior,Notre Dame,6/5,PF,22.2
Theo Pinson,Senior,North Carolina,6/6,PG/SG,22.4
Keenan Evans,Senior,Texas Tech,6/3,PG,21.6
Gary Clark,Senior,Cincinnati,6/7,PF,23.3
Isaac Haas,Senior,Purdue,7/2,C,22.5
Rob Gray,Senior,Houston,6/2,PG,24
Jeffrey Carroll,Senior,Oklahoma State,6/6,SF,23.4
Lagerald Vick,Junior,Kansas,6/5,SF,21.2
Deng Adel,Junior,Louisville,6/7,SF/PF,22.2
Drew Eubanks,Junior,Oregon State,6/10,C,21.2
Terry Larrier,Junior,Connecticut,6/8,SF,22.6
Robert Franks,Junior,Washington State,6/7,PF,21.3
Corey Sanders,Junior,Rutgers,6/1,PG,21
Leron Black,Junior,Illinois,6/7,PF,22.2
Eric Davis,Junior,Texas,6/3,PG,20.9
Dikembe Dixson,Junior,Illinois (Chi.),6/7,SF/PF,21.6
Marcus Derrickson,Junior,Georgetown,6/7,PF,22.2
Fred Sims,Junior,Chicago State,6/4,SG,
Brandon Sampson,Junior,LSU,6/4,SG,20.9
Elijah Bryant,Junior,BYU,6/5,SG,23
Ajdin Penava,Junior,Marshall,6/10,PF,21.1
Max Montana,Junior,San Diego State,6/9,PF,22.2
Tavarius Shine,Junior,Oklahoma State,6/6,SF,23.9
Yankuba Sima,Junior,Oklahoma State,6/11,C,21.7
Mustapha Heron,Sophomore,Auburn,6/5,SG,20.3
Kalob Ledoux,Sophomore,McNeese State,6/3,SG,20.6
LiAngelo Ball,Freshman,UCLA,6/5,SG,19.4
Markis McDuffie,Junior,Wichita State,6/8,SF,20.6
James Palmer,Junior,Nebraska,6/6,SF,21.7
Admiral Schofield,Junior,Tennessee,6/5,SF/PF,21
Bryant Crawford,Junior,Wake Forest,6/3,PG,21
Tyler Hall,Junior,Montana State,6/4,SG,21
Justin James,Junior,Wyoming,6/7,SG,21.2
Juwan Morgan,Junior,Indiana,6/8,SF/PF,21
Jessie Govan,Junior,Georgetown,6/11,C,20.7
Mike Daum,Junior,South Dakota State,6/8,PF,22.4
Luke Maye,Junior,North Carolina,6/8,PF,21.1
Jon Davis,Junior,Charlotte,6/3,PG,21.4
Jordan Davis,Junior,Northern Colorado,6/2,SG,20.8
Fletcher Magee,Junior,Wofford,6/4,SG,21.4
Jordan Caroline,Junior,Nevada,6/7,PF,22.2
Quinndary Weatherspoon,Junior,Mississippi State,6/4,SG,21.6
Chris Clemons,Junior,Campbell,5/9,PG,20.7
