"","player","season_end","salary","season_start","Salary.Cap","Per.Cap","fifth","Pos.x","Age","HT","WT","WS","Pos2","RSCI","percentile","Pos.y","School","Numb","G","X2PA","X3PA","FTA","Poss","Ast.Pos","Tov.Pos","Stl.G","Blk.G","TS","FTA.G","Three.G","Two.G","Three.Per","Two.Per","FTA.FGA","Three.FGA","OR.G","DR.G","PF.G","adjTempo","adjOE","adjDE"
"1","A.J. Price",2015,62552,2014,63065000,0.000991865535558551,2015,"PG",22.4,74,193,75,"PG","Top25",0.0384615384615385,"G","Connecticut",3,99,209.5,163.666666666667,128.5,15.1784296420425,0.322672027765036,0.16304177904708,0.976125308383373,0.0410557184750733,1.07704792120822,3.81483498580273,4.81164641809803,6.21881022203603,0.369366379691786,0.440977531857814,0.349106473018307,0.430311283759877,0.721035237164269,2.70364008751105,1.3736023832798,67.33445,113.735,90.51595
"2","Aaron Brooks",2014,1027424,2013,58679000,0.0175092281736226,2014,"PG",22.1,72,161,76,"PG","Top50",0.153846153846154,"G","Oregon",4,115,186.3,155,106.1,14.8135252645503,0.290568893752686,0.183378329331299,1.15764880952381,0.149837962962963,1.13561492761193,3.35124338624339,4.91804894179894,5.7947585978836,0.37349024982175,0.475298210400464,0.312223654711833,0.469636203118178,0.781782407407407,2.84227182539683,2.32492724867725,65.52027,113.3872,99.42008
"3","Aaron Gray",2012,2500000,2011,58044000,0.0430707738956654,2012,"C",22.2,85,280,87,"Big","NR",0.18,"C","Pittsburgh",4,113,260.3,0,132.1,11.0206977359805,0.138999861905407,0.154421815601589,0.392058516196447,1.26468826192964,1.15136311680457,3.89926158133055,0,7.66701497735981,0,0.554227635652599,0.499924230079844,0,2.74137931034483,4.89605712295367,2.21063044235458,63.0367,115.3163,93.3699
"4","Acie Law",2011,656030,2010,58044000,0.0113022879195093,2011,"PG",22.1,75,186,78,"PG","NR",0.115384615384615,"G","Texas A&M",4,122,278.9,86.5,135.1,15.8836568416614,0.29494357174692,0.162368844801748,1.29765268114414,0.0217647058823529,1.12682649993976,4.21421252371916,2.75632721905967,8.75680230515145,0.380520629195728,0.503840886992316,0.359299055117263,0.241146900494222,0.450031625553447,2.80001335301146,2.62496521189121,64.05412,112.719,94.85128
"5","Al Horford",2012,12000000,2011,58044000,0.206739714699194,2012,"PF/C",20.7,82,246,84,"Big","Top50",1,"F","Florida",3,109,269.5,1.66666666666667,165.333333333333,10.7992228969861,0.171697715778411,0.156726598739579,0.845718061178587,1.76787421277553,1.22677558748768,4.399080634278,0.0434098065677013,7.1315438034188,0,0.590125795204847,0.623622736969886,0.00555892460076814,2.37320062977958,5.97355066351777,2.47736026765632,66.0916833333333,120.097666666667,91.2787833333333
"6","Al-Farouq Aminu",2015,981084,2014,63065000,0.0155567113295806,2015,"SF/PF",19.4,80,216,84,"Wing","Top25",0.173913043478261,"F","Wake Forest",2,62,286.666666666667,57,183.333333333333,16.6881720430108,0.0843468504335302,0.180401861678717,1.26881720430108,1.35483870967742,1.09122487231861,5.91397849462366,1.83870967741935,9.24731182795699,0.241647241647242,0.512401532893336,0.533757865497629,0.163583454583247,3.62365591397849,6.23655913978495,2.82795698924731,70.0680666666667,108.612333333333,92.9032666666667
"7","Alec Burks",2016,9213484,2015,7e+07,0.1316212,2016,"SG",19.6,78,193,82,"Wing","NR",0.725,"G","Colorado",2,68,381.333333333333,82,265.666666666667,18.5975906432749,0.135527753274273,0.127826884241805,1.10818713450292,0.343859649122807,1.19906722841579,7.44269005847953,2.28421052631579,10.6573099415205,0.311728395061728,0.530377766740313,0.577365654205607,0.175876168224299,2.24093567251462,3.75906432748538,2.38362573099415,66.8839333333333,116.189666666667,104.345666666667
"8","Alex Len",2018,4187599,2017,99093000,0.0422592816848819,2018,"C",19.7,85,255,87,"Big","NR",0.16,"C","Maryland",2,60,241.666666666667,5.66666666666667,117.333333333333,10.1488038277512,0.0840849033664371,0.163336870544221,0.200956937799043,2.08054226475279,1.15227950016764,3.38118022328549,0.155502392344498,6.95295055821372,0.0833333333333333,0.549249126627648,0.477935382190701,0.0200070046405744,2.45773524720893,4.57336523125997,2.59011164274322,66.1638666666667,106.954666666667,96.7530666666667
"9","Amir Johnson",2010,3666666,2009,57700000,0.0635470710571924,2010,"PF",17.8,82,204,86,"Big","Top25",0.4,"G","Radford",4,120,138.5,110.9,91.1,12.7882480370205,0.438675901578325,0.244274665985049,1.42069264069264,0.127683236303926,0.974911277398349,3.02831616659203,3.70258844603672,4.62665472458576,0.330903661161935,0.414846122683535,0.360447875425105,0.45708284557256,0.383975220182117,3.51101209135692,2.59175100761308,68.53585,97.26351,103.7581
"10","Andre Drummond",2018,23775506,2017,99093000,0.239931236313362,2018,"C",18.5,84,279,90,"Big","NR",0.98,"C","Connecticut",1,34,290,2,88,11.2564705882353,0.039193143812709,0.135869565217391,0.823529411764706,2.70588235294118,1.02805999032414,2.58823529411765,0.0588235294117647,8.52941176470588,0,0.541379310344828,0.301369863013699,0.00684931506849315,3.35294117647059,4.20588235294118,2.20588235294118,63.0002,111.342,96.8097
