Year,Salary Cap
1985,3600000.00
1986,4233000.00
1987,4945000.00
1988,6164000.00
1989,7232000.00
1990,9802000.00
1991,11871000.00
1992,12500000.00
1993,14000000.00
1994,15175000.00
1995,15964000.00
1996,23000000.00
1997,24363000.00
1998,26900000.00
1999,30000000.00
2000,34000000.00
2001,35500000.00
2002,42500000.00
2003,40271000.00
2004,43840000.00
2005,43870000.00
2006,49500000.00
2007,53135000.00
2008,55630000.00
2009,58680000.00
2010,57700000.00
2011,58044000.00
2012,58044000.00
2013,58044000.00
2014,58679000.00
2015,63065000.00
2016,70000000.00
2017,94143000.00
2018,99093000.00
