"","PLAYER","TEAM","YEAR","HT","POS","AGE","Pos","Numb","G","X2PA","X3PA","FTA","Poss","Ast.Pos","Tov.Pos","Stl.G","Blk.G","TS","FTA.G","Three.G","Two.G","Three.Per","Two.Per","FTA.FGA","Three.FGA","OR.G","DR.G","PF.G","adjTempo","adjOE","adjDE"
"1","Aaron Holiday","UCLA","Junior","1-Jun","PG",21.5,"G",3,101,220.166666666667,161,147.666666666667,16.4485669191919,0.312219948107608,0.195080308029074,1.23184974747475,0.218434343434343,1.19531712857077,4.39520202020202,4.78488005050505,6.55113636363636,0.421477523852508,0.486542394735672,0.379186464146903,0.415617881001381,0.467645202020202,2.81939183501684,2.60464015151515,70.9583666666667,115.661666666667,102.356166666667
"2","Aaron Menzies","Eastern Washington","Junior","3-Jul","C",21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Abdul Lewis","NJIT","Junior","10-Jun","PF",22.3,"F",2,59,212.333333333333,26.6666666666667,126.333333333333,12.9266666666667,0.138901857074071,0.211031126729182,0.410138248847926,0.74347158218126,1.10426665699823,4.38402457757296,0.917818740399385,7.33563748079877,0.355555555555556,0.504140490098828,0.529551481609593,0.111437795457166,3.04377880184332,5.65207373271889,3.0384024577573,67.1524666666667,101.059766666667,106.046
"4","Admiral Schofield","Tennessee","Junior","5-Jun","SF/PF",21,"F",3,95,177,112.833333333333,74.1666666666667,11.1949107142857,0.101626253053964,0.124286052007323,0.655357142857143,0.325892857142857,1.11895759981592,2.2983630952381,3.38943452380952,5.39345238095238,0.377361297040012,0.492523704046394,0.276820275556373,0.376024314598632,1.33348214285714,4.01458333333333,2.68928571428571,67.6097833333333,110.015833333333,98.4861
"5","Admon Gilder","Texas A&M","Junior","4-Jun","SG",22.4,"G",3,98,157.833333333333,127.666666666667,86.8333333333333,12.2732275501308,0.222658458043166,0.146467773434768,1.4149811101424,0.202630049404243,1.14494960588492,2.78782330717815,4.09420226678291,5.08828828828829,0.380775892715322,0.496679231010075,0.305924684632405,0.449115169533517,0.732824760244115,3.0115518744551,2.08202557396106,67.4537,108.188166666667,97.7423333333333
"6","Ahmaad Rorie","Montana","Junior","1-Jun","PG",22.6,"G",2,65,297.333333333333,170.666666666667,128.666666666667,17.7050727387729,0.197088804693986,0.102486889956371,1.10309930423782,0.173308032890576,1.09161531264283,3.89816571790006,5.17520556609741,8.99557242251739,0.354102420334548,0.474980698706813,0.275151932996272,0.365430774730606,0.896268184693232,2.88361796331436,1.96457938013915,67.5649333333333,107.91,100.5302
"7","Ajdin Penava","Marshall","Junior","10-Jun","PF",21.1,"F",3,87,161.333333333333,64.1666666666667,100.5,9.41667475879241,0.116717363827579,0.15041513224248,0.62270463741052,2.40656707127295,1.20999302939238,2.99460006224712,1.9370525988173,4.78807967631497,0.268912616593029,0.630349303551918,0.437643414554457,0.306216096778382,1.39375972611267,4.32248677248677,3.30348583877996,76.1267666666667,109.778666666667,106.548833333333
"8","Alize Johnson","Missouri State","Senior","9-Jun","PF",21.9,"F",2,66,250.333333333333,131.666666666667,150.333333333333,15.8428282828283,0.159134288319256,0.143134500727497,0.505050505050505,0.343434343434343,1.10095157723572,4.55555555555556,3.98989898989899,7.58585858585859,0.316664450059848,0.520786753507663,0.396772639691715,0.342562620423892,3.21212121212121,8.09090909090909,2.23232323232323,65.7141666666667,106.152666666667,102.985
"9","Allonzo Trier","Arizona","Junior","5-Jun","SG",22.2,"G",3,78,154.833333333333,139.333333333333,155.333333333333,15.4028731762065,0.173174744864752,0.127095274574153,0.534231200897868,0.240740740740741,1.28289395609489,5.84624017957351,5.07800224466891,5.79685746352413,0.381091651144125,0.569191559981034,0.538202887811899,0.465761694396958,0.333333333333333,3.50897867564534,1.77721661054994,66.9645833333333,116.686833333333,99.0612
"10","Andrien White","Charlotte","Junior","10-Jun","PG",21.3,"G",3,87,124.166666666667,143.333333333333,102.5,13.1688317659352,0.0874250969682129,0.129935062942715,1.59043538836642,0.276739811912226,1.13975585433418,3.81048415186346,5.19448275862069,4.59389063044235,0.362213785897996,0.477640375945461,0.382675062806217,0.537845268328769,0.863782654127482,3.46165099268548,2.71357018460467,71.5573833333333,100.335683333333,110.195
