,,247Sports,AS,College,DT,Draft,ESPN,FS,From,HM,HS,High School,MP,PS,Pk,Player,PrepStars,RC,RH,RH/PS,RSCI,Rd,Rivals,SC,SI,SN,SS,Scout,Tm,To,VC,WS
0,,,,University of Kansas,,2017,,,2018,,,"Prolific Prep/Justin-Siena HS (Napa, CA)",,,4,Josh Jackson (college),,,,,1,1,,,,,,,PHO,2018,,-0.7
1,,,,Duke University,,2017,,,,,,"Forest Trail Academy (Kernersville, NC)",,,20,Harry Giles (college),,,,,2,1,,,,,,,POR,,,
2,,,,"University of California, Los Angeles",,2017,,,2018,,,"Chino Hills (Chino Hills, CA)",,,2,Lonzo Ball (college),,,,,3,1,,,,,,,LAL,2018,,2.0
3,,,,Duke University,,2017,,,2018,,,"Chaminade College Prep (St. Louis, MO)",,,3,Jayson Tatum (college),,,,,T3,1,,,,,,,BOS,2018,,7.1
4,,,,University of Washington,,2017,,,2018,,,"DeMatha Catholic (Hyattsville, MD)",,,1,Markelle Fultz (college),,,,,5,1,,,,,,,PHI,2018,,0.2
5,,,,University of Kentucky,,2017,,,2018,,,"Cypress Lakes (Katy, TX)",,,5,De'Aaron Fox (college),,,,,6,1,,,,,,,SAC,2018,,-0.6
6,,,,Florida State University,,2017,,,2018,,,"IMG Academy (Bradenton, FL)",,,6,Jonathan Isaac (college),,,,,7,1,,,,,,,ORL,2018,,0.2
7,,,,University of Kentucky,,2017,,,2018,,,"High Point Christian Academy (High Point, NC)",,,14,Bam Adebayo (college),,,,,8,1,,,,,,,MIA,2018,,4.2
8,,,,University of Kentucky,,2017,,,2018,,,"Bentonville (Bentonville, AR)",,,11,Malik Monk (college),,,,,9,1,,,,,,,CHO,2018,,0.0
9,,,,Michigan State,,,,,,,,,,,,Miles Bridges (college),,,,,10,,,,,,,,,,,
10,,,,Duke,,,,,,,,,,,,Marques Bolden (college),,,,,11,,,,,,,,,,,
11,,,,,,2017,,,2018,,,"Advanced Prep International (Dallas, TX)",,,21,Terrance Ferguson,,,,,12,1,,,,,,,OKC,2018,,1.2
12,,,,Kentucky,,,,,,,,,,,,Wenyen Gabriel (college),,,,,13,,,,,,,,,,,
13,,,,Duke University,,2017,,,,,,"Lone Peak (Highland, UT)",,,31,Frank Jackson (college),,,,,14,2,,,,,,,CHO,,,
14,,,,University of Texas at Austin,,2017,,,2018,,,"St. Stephen's Episcopal School (Austin, TX)",,,22,Jarrett Allen (college),,,,,15,1,,,,,,,BRK,2018,,4.2
15,,,,"University of California, Los Angeles",,2017,,,2018,,,"Foothills Christian (El Cajon, CA)",,,18,TJ Leaf (college),,,,,16,1,,,,,,,IND,2018,,0.8
16,,,,Villanova,,,,,,,,,,,,Omari Spellman (college),,,,,17,,,,,,,,,,,
17,,,,Auburn,,,,,,,,,,,,Mustapha Heron (college),,,,,18,,,,,,,,,,,
18,,,,University of North Carolina,,2017,,,2018,,,"Bartow (Bartow, FL)",,,28,Tony Bradley (college),,,,,19,1,,,,,,,LAL,2018,,0.0
19,,,,Michigan State,,,,,,,,,,,,Joshua Langford (college),,,,,20,,,,,,,,,,,
20,,,,Kentucky,,,,,,,,,,,,Sacha Killeya-Jones (college),,,,,21,,,,,,,,,,,
21,,,,Arizona,,,,,,,,,,,,Rawle Alkins (college),,,,,T21,,,,,,,,,,,
22,,,,Texas,,,,,,,,,,,,Andrew Jones (college),,,,,23,,,,,,,,,,,
23,,,,University of Arizona,,,,,2018,,,"St. Francis (Alpharetta, GA)",,,,Kobi Simmons (college),,,,,24,,,,,,,,,2018,,-0.2
24,,,,Louisville,,,,,,,,,,,,V.J. King (college),,,,,25,,,,,,,,,,,
25,,,,Miami (FL),,,,,,,,,,,,Bruce Brown (college),,,,,26,,,,,,,,,,,
26,,,,Miami (FL),,,,,,,,,,,,Dewan Huell (college),,,,,27,,,,,,,,,,,
27,,,,Gonzaga University,,2017,,,2018,,,"Bishop Gorman (Las Vegas, NV)",,,10,Zach Collins (college),,,,,28,1,,,,,,,SAC,2018,,0.6
28,,,,Michigan State,,,,,,,,,,,,Cassius Winston (college),,,,,29,,,,,,,,,,,
29,,,,Connecticut,,,,,,,,,,,,Alterique Gilbert (college),,,,,30,,,,,,,,,,,
30,,,,Syracuse,,,,,,,,,,,,Tyus Battle (college),,,,,31,,,,,,,,,,,
31,,,,Virginia,,,,,,,,,,,,Kyle Guy (college),,,,,32,,,,,,,,,,,
32,,,,Kansas,,,,,,,,,,,,Udoka Azubuike (college),,,,,33,,,,,,,,,,,
33,,,,"University of California, Los Angeles",,2017,,,2018,,,"Centennial (Corono, CA)",,,47,Ike Anigbogu (college),,,,,34,2,,,,,,,IND,2018,,0.1
34,,,,Duke,,,,,,,,,,,,Javin DeLaurier (college),,,,,35,,,,,,,,,,,
35,,,,St. John's (NY),,,,,,,,,,,,Shamorie Ponds (college),,,,,36,,,,,,,,,,,
36,,,,,,2016,,,2017,,,,,,10,Thon Maker,,,,,37,1,,,,,,,MIL,2018,,2.8
37,,,,Oklahoma,,,,,,,,,,,,Kameron McGusty (college),,,,,38,,,,,,,,,,,
38,,,,Arizona State,,,,,,,,,,,,Sam Cunliffe (college),,,,,39,,,,,,,,,,,
39,,,,Minnesota,,,,,,,,,,,,Amir Coffey (college),,,,,40,,,,,,,,,,,
40,,,,North Carolina,,,,,,,,,,,,Seventh Woods (college),,,,,T40,,,,,,,,,,,
41,,,,Indiana,,,,,,,,,,,,De'Ron Davis (college),,,,,T40,,,,,,,,,,,
42,,,,Penn State,,,,,,,,,,,,Tony Carr (college),,,,,43,,,,,,,,,,,
