RSCI,Player,Draft,Year
1,Marvin Bagley III,,2017
2,Michael Porter Jr.,,2017
3,DeAndre Ayton,,2017
4,Mohamed Bamba,,2017
5,Trevon Duval,,2017
6,Collin Sexton,,2017
7,Wendell Carter,,2017
8,Mitchell Robinson,,2017
9,Jaren Jackson,,2017
10,Kevin Knox,,2017
11,Brandon McCoy,,2017
12,Troy Brown,,2017
13,Jarred Vanderbilt,,2017
14,PJ Washington,,2017
T14,Gary Trent Jr.,,2017
16,Brian Bowen,,2017
17,Lonnie Walker,,2017
18,Nick Richards,,2017
19,Billy Preston,,2017
20,Kris Wilkes,,2017
T20,Trae Young,,2017
22,Jaylen Hands,,2017
23,Quade Green,,2017
24,M.J. Walker,,2017
25,Malik Williams,,2017
26,Nick Weatherspoon,,2017
27,Jalek Felton,,2017
28,John Petty,,2017
29,Paul Scruggs,,2017
30,Shai Gilgeous-Alexander,,2017
31,Lindell Wigginton,,2017
T31,Ethan Thompson,,2017
33,Nickeil Alexander-Walker,,2017
34,Chaundee Brown,,2017
35,Brandon Randolph,,2017
36,Daniel Gafford,,2017
T36,Charles O'Bannon,,2017
38,Tremont Waters,,2017
39,Makai Ashton-Langford,,2017
40,Jeremiah Tilmon,,2017
41,Kezie Okpala,,2017
42,Emmanuel Akot,,2017
43,D.J. Harvey,,2017
44,Cody Riley,,2017
45,Jermaine Samuels,,2017
46,Hamidou Diallo,,2017
47,Matt Coleman,,2017
48,Chuma Okeke,,2017
49,Rayshaun Hammonds,,2017
50,Daejon Davis,,2017
51,Jericho Sims,,2017
52,Jordan Goodwin,,2017
53,Jontay Porter,,2017
54,Marcus Garrett,,2017
55,Kimani Lawrence,,2017
56,Savion Flagg,,2017
57,Naji Marshall,,2017
58,Davion Mitchell,,2017
59,Jordan Tucker,,2017
60,Ira Lee,,2017
61,Isaiah Washington,,2017
62,Josh Anderson,,2017
63,Ike Obiagu,,2017
64,Jalen Hill,,2017
65,Chris Lykes,,2017
66,Jaylen Nowell,,2017
67,Nojel Eastern,,2017
68,Nate Reuvers,,2017
69,Alex O'Connell,,2017
70,Bruno Fernando,,2017
71,Darius Perry,,2017
72,Jemarl Baker,,2017
73,Jordan Nwora,,2017
74,Dhamir Cosby-Roundtree,,2017
75,D'Shawn Schwartz,,2017
76,Mitchell Ballock,,2017
77,Sidney Wilson,,2017
78,Jase Febres,,2017
79,Derek Culver,,2017
T79,Myles Cale,,2017
81,Wabissa Bede,,2017
82,Kellan Grady,,2017
83,Kaleb Wesson,,2017
T83,Xavier Tillman,,2017
85,Branden Carlson,,2017
86,Khalil Garland,,2017
87,Justin Smith,,2017
88,Jamorko Pickett,,2017
89,Darryl Morsell,,2017
90,Mark Smith,,2017
91,Jacob Epperson,,2017
92,Deaundrae Ballard,,2017
93,Alex Reese,,2017
T93,Luka Garza,,2017
93,Terrance Lewis,,2017
96,Ty-Shon Alexander,,2017
97,Isaiah Stokes,,2017
98,Oscar Da Silva,,2017
99,Hameir Wright,,2017
T99,Jordan Poole,,2017
1,Josh Jackson,2017,2016
2,Harry Giles,2017,2016
3,Lonzo Ball,2017,2016
T3,Jayson Tatum,2017,2016
5,Markelle Fultz,2017,2016
6,De'Aaron Fox,2017,2016
7,Jonathan Isaac,2017,2016
8,Bam Adebayo,2017,2016
9,Malik Monk,2017,2016
10,Miles Bridges,,2016
11,Marques Bolden,,2016
12,Terrance Ferguson,2017,2016
13,Wenyen Gabriel,,2016
14,Frank Jackson,2017,2016
15,Jarrett Allen,2017,2016
16,TJ Leaf,2017,2016
17,Omari Spellman,,2016
18,Mustapha Heron,,2016
19,Tony Bradley,2017,2016
20,Joshua Langford,,2016
21,Rawle Alkins,,2016
T21,Sacha Killeya-Jones,,2016
23,Andrew Jones,,2016
24,Kobi Simmons,,2016
25,V.J. King,,2016
26,Bruce Brown,,2016
27,Dewan Huell,,2016
28,Zach Collins,2017,2016
29,Cassius Winston,,2016
30,Alterique Gilbert,,2016
31,Tyus Battle,,2016
32,Kyle Guy,,2016
33,Udoka Azubuike,,2016
34,Ike Anigbogu,2017,2016
35,Javin DeLaurier,,2016
36,Shamorie Ponds,,2016
37,Thon Maker,2016,2016
38,Kameron McGusty,,2016
39,Sam Cunliffe,,2016
40,Amir Coffey,,2016
T40,Seventh Woods,,2016
40,De'Ron Davis,,2016
43,Tony Carr,,2016
44,Nick Ward,,2016
45,Payton Pritchard,,2016
46,Ty Jerome,,2016
47,De'Riante Jenkins,,2016
48,Mario Kegler,,2016
49,Dennis Smith,2017,2016
50,Juwan Durham,,2016
51,Robert Williams,,2016
52,Schnider Herard,,2016
53,Kevin Huerter,,2016
54,Xavier Simpson,,2016
55,Dejon Jarreau,,2016
56,Braxton Key,,2016
57,Anthony Cowan,,2016
58,Charlie Moore,,2016
59,Jaylen Fisher,,2016
60,Matthew Moyer,,2016
61,Jay Huff,,2016
62,Brendan Bailey,,2016
63,Tyler Cook,,2016
64,James Banks,,2016
65,Brandon Robinson,,2016
66,Derek Funderburk,,2016
67,Jarron Cumberland,,2016
68,JJ Caldwell,,2016
69,Trent Forrest,,2016
70,Vance Jackson,,2016
71,Markus Howard,,2016
72,Lauri Markkanen,2017,2016
73,Omer Yurtseven,,2016
74,De'Andre Hunter,,2016
75,Jonah Mathews,,2016
76,Curtis Jones,,2016
77,Quentin Goodin,,2016
78,Temple Gibbs,,2016
79,Mark Vital,,2016
80,Yoeli Childs,,2016
T80,Romello White,,2016
80,Tyree Crump,,2016
83,Lamar Peters,,2016
