,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
0,1,,Anthony Davis,,PF,19,"6'10""",222,"7'5 ½""",28.2,11.1,2.4,28.3,,NBA,18.14
1,2,,Michael Kidd-Gilchrist,,SF,18.4,"6'7""",233,"7'0""",9.6,4.2,1.1,13.2,,NBA,2.20
2,3,,Bradley Beal,,SG,18.7,"6'5""",202,"6'8""",23.7,4.5,4.4,20.1,,NBA,6.75
3,4,,Dion Waiters,,SG,20.2,"6'4""",221,"6'7 ¼""",14.3,2.6,3.8,11.5,,NBA,1.01
4,5,,Thomas Robinson,,PF,20.9,"6'9""",244,"7'3 ¼""",10.5,7.0,0.5,21.3,,EuroLeague,0.94
5,6,,Damian Lillard,,PG,21.6,"6'3""",189,"6'7 ¾""",26.3,4.5,6.6,25.4,,NBA,14.08
6,7,,Harrison Barnes,,SF,19.7,"6'8""",228,"6'11 ¼""",18.2,6.4,1.8,16.2,,NBA,2.89
7,8,,Terrence Ross,,SG/SF,21.1,"6'7""",197,"6'7 ¼""",9.0,3.2,1.6,10.5,,NBA,0.76
8,9,,Andre Drummond,,C,18.5,"7'0""",279,"7'6 ¼""",15.1,15.8,3.5,22.8,,NBA,12.02
9,10,,Austin Rivers,,SG,19.6,"6'5""",203,"6'7 ¼""",15.6,2.3,3.7,13.2,,NBA,-0.11
10,11,,Meyers Leonard,,C,20,"7'1""",250,"7'3""",3.7,2.0,0.4,18.5,,NBA,0.33
11,12,,Jeremy Lamb,,SG,19.7,"6'5""",179,"6'11""",13.4,4.3,2.4,17.8,,NBA,2.53
12,13,,Kendall Marshall,,PG,20.4,"6'4""",198,"6'5 ½""",4.0,1.7,2.7,-0.9,,G-League,-0.04
13,14,,John Henson,,PF,21.2,"6'10""",216,"7'5""",8.9,6.9,1.4,15.2,,NBA,3.97
14,15,,Moe Harkless,,SF,18.8,"6'9""",207,"7'0""",5.7,2.7,0.8,10.6,,NBA,0.98
15,16,,Royce White,,PF,20.9,"6'8""",261,"7'0""",0.0,0.0,0.0,-8.4,,NBA,-0.09
16,17,,Tyler Zeller,,C,22.1,"7'0""",247,"7'0""",5.1,4.4,0.4,14.0,,NBA,1.97
17,18,,Terrence Jones,,PF,20.1,"6'9""",252,"7'2 ¼""",19.6,7.1,4.5,21.3,,G-League,3.07
18,19,,Andrew Nicholson,,PF/C,22.2,"6'9""",234,"7'4""",23.1,7.9,1.7,22.4,,China,0.44
19,20,,Evan Fournier,,SG/SF,19.3,"6'7""",204,"6'8 ¼""",18.0,3.2,2.8,16.2,,NBA,2.36
20,21,,Jared Sullinger,,C,20,"6'9""",268,"7'1 ¼""",28.2,16.9,3.8,27.7,,China,3.55
21,22,,Fab Melo,,C,21.7,"7'0""",255,"7'2 ½""",2.0,1.0,0.0,9.0,,Brazil,-0.11
22,23,,John Jenkins,,SG,21,"6'4""",212,"6'8 ½""",13.3,1.8,1.0,16.5,,ACB,0.22
23,24,,Jared Cunningham,,SG,20.8,"6'5""",188,"6'6 ½""",11.3,2.0,1.8,17.3,,Germany,-0.20
24,25,,Tony Wroten,,PG/SG,18.9,"6'6""",203,"6'9""",10.7,2.0,3.2,11.2,,G-League,0.64
25,26,,Miles Plumlee,,C,23.5,"7'0""",252,"7'0 ¾""",3.0,3.0,0.5,0.5,,G-League,0.87
26,27,,Arnett Moultrie,,PF/C,21.3,"6'11""",233,"7'2 ¼""",20.1,9.8,1.6,23.2,,Turkey 2,0.60
27,28,,Perry Jones,,PF,20.4,"6'11""",234,"7'1 ¾""",11.6,4.9,1.3,16.3,,G-League,-0.64
28,29,,Marquis Teague,,PG,19,"6'2""",184,"6'7""",16.5,3.4,5.8,16.2,,G-League,-0.83
29,30,,Festus Ezeli,,C,22.4,"6'11""",264,"7'5 ¾""",6.0,4.7,0.6,17.0,,NBA,1.44
30,31,,Jeff Taylor,,SF,22.8,"6'7""",213,"6'6 ¼""",5.8,2.3,1.3,9.8,,EuroLeague,-0.84
31,32,,Tomas Satoransky,,PG/SG,20.3,"6'7""",201,"6'7 ½""",6.4,2.5,3.4,15.9,,NBA,0.84
32,33,,Bernard James,,C,27.1,"6'10""",230,"7'3""",1.0,0.5,0.0,7.2,,France,0.37
33,34,,Jae Crowder,,SF,21.6,"6'6""",241,"6'9 ¼""",13.0,4.3,2.0,10.6,,NBA,1.71
34,35,,Draymond Green,,PF,22,"6'7""",236,"7'1 ¼""",11.4,7.8,7.3,16.4,,NBA,6.53
35,36,,Orlando Johnson,,SG,23,"6'5""",224,"6'11 ¼""",15.9,3.8,1.9,18.3,,VTB United,-0.26
36,37,,Quincy Acy,,PF,21.4,"6'8""",224,"6'11""",5.7,4.1,0.8,7.2,,NBA,0.11
37,38,,Quincy Miller,,SF,19.3,"6'10""",219,"7'1 ¼""",4.0,5.0,0.0,-2.2,,Germany,-0.29
38,39,,Khris Middleton,,SF,20.5,"6'8""",216,"6'10 ¾""",20.0,5.3,4.1,17.2,,NBA,4.27
39,40,,Will Barton,,SF,21.1,"6'6""",174,"6'9 ¾""",15.0,4.9,4.1,16.1,,NBA,2.30
40,41,,Tyshawn Taylor,,PG,21.9,"6'4""",177,"6'6 ¼""",17.3,2.9,4.2,17.9,,Israel,-0.61
41,42,,Doron Lamb,,SG,20.3,"6'5""",199,"6'6 ¾""",11.8,1.4,2.6,16.6,,Greece,-0.96
42,43,,Mike Scott,,PF,23.6,"6'9""",241,"6'10 ¾""",8.8,3.2,0.9,13.8,,NBA,1.71
43,44,,Kim English,,SG/SF,23.4,"6'6""",192,"6'6 ½""",9.4,2.8,3.6,15.6,,France,-0.58
44,45,,Justin Hamilton,,C,21.9,"6'11""",264,"7'1 ½""",25.3,11.3,1.6,26.5,,China,0.55
45,46,,Darius Miller,,SF,21.9,"6'7""",233,"6'9""",8.0,2.0,1.3,9.7,,NBA,-0.83
46,47,,Kevin Murphy,,SG/SF,22,"6'6""",194,"6'6 ¾""",6.1,2.7,1.6,13.9,,Croatia,-0.40
47,48,,Kostas Papanikolaou,,SF,21.6,"6'8""",230,"6'8""",8.5,4.4,2.3,15.6,,EuroLeague,-1.01
48,49,,Kyle O'Quinn,,PF/C,21.9,"6'10""",241,"7'4 ¾""",6.8,5.7,1.8,18.4,,NBA,3.11
49,50,,Izzet Turkyilmaz,,C,21.8,"7'1""",211,"7'2""",11.1,7.8,3.0,19.5,,Turkey 2,-
50,51,,Kris Joseph,,SF,23.2,"6'7""",215,"6'11""",5.7,1.7,0.5,9.6,,France,-0.14
51,52,,Ognjen Kuzmic,,C,21.8,"7'1""",231,-,1.0,2.0,0.0,-0.3,,EuroLeague,-0.11
52,53,,Furkan Aldemir,,PF,20.6,"6'9""",220,-,4.9,5.2,0.4,17.3,,Turkey,0.21
53,54,,Tornike Shengelia,,PF,20.4,"6'9""",228,"6'9 ¾""",14.4,6.3,2.0,22.4,,EuroLeague,-0.22
54,55,,Darius Johnson-Odom,,SG,22.4,"6'3""",212,"6'7""",18.1,3.1,3.7,21.6,,Italy,-0.15
55,56,,Tomislav Zubcic,,PF,22.1,"6'11""",229,"7'0""",7.0,4.0,1.0,9.8,,FIBA Europe Cup Qlf,-
56,57,,Ilkan Karaman,,SF,21.8,"6'9""",236,"7'0 ½""",8.0,3.0,1.7,21.8,,Turkey,-
57,58,,Robbie Hummel,,SF/PF,23,"6'8""",218,"6'8 ½""",8.3,3.9,1.1,17.3,,VTB United,-0.47
58,59,,Marcus Denmon,,SG,21.9,"6'3""",188,"6'5""",5.4,0.6,1.0,11.5,,EuroLeague,-
59,60,,Robert Sacre,,C,22.7,"7'0""",263,"7'0 ½""",3.5,2.9,0.6,10.4,,NBA,-0.07
