,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
0,1,,Dwight Howard,,C,18.2,"6'10""",240,"7'4 ½""",15.7,12.7,1.4,18.7,,NBA,13.69
1,2,,Emeka Okafor,,C,21.4,"6'10""",257,"7'4""",6.8,8.0,1.4,17.8,,G-League,5.78
2,3,,Ben Gordon,,SG,20.9,"6'2""",192,"6'8 ½""",15.2,2.7,3.4,15.7,,G-League,3.72
3,4,,Shaun Livingston,,PG,18.5,"6'7""",186,"6'11""",5.1,1.7,1.9,10.8,,NBA,0.94
4,5,,Devin Harris,,PG,21,"6'3""",170,"6'7 ½""",6.2,1.6,2.4,9.6,,NBA,3.59
5,6,,Josh Childress,,SF,20.7,"6'7""",196,"6'11""",11.5,6.3,2.3,17.6,,Australia,3.12
6,7,,Luol Deng,,SF,18.9,"6'8""",220,"7'0 ½""",2.0,0.0,1.0,5.7,,NBA,4.71
7,8,,Rafael Araujo,,C,23.5,"6'11""",280,-,4.6,2.9,0.5,11.3,,Brazil,-1.19
8,9,,Andre Iguodala,,SF,20.1,"6'7""",217,"6'11""",5.5,3.7,3.3,10.3,,NBA,6.50
9,10,,Luke Jackson,,SF,22.3,"6'7""",212,"6'8 ½""",10.2,4.3,1.8,17.5,,Israel,-0.12
10,11,,Andris Biedrins,,C,17.9,"7'0""",240,-,0.5,2.8,0.0,2.4,,NBA,2.49
11,12,,Robert Swift,,C,18.2,"7'1""",245,-,2.5,6.0,0.5,-1.7,,G-League,0.14
12,13,,Sebastian Telfair,,PG,18.7,"6'0""",165,-,4.0,1.5,1.5,-3.3,,China,-0.03
13,14,,Kris Humphries,,PF,19.1,"6'9""",238,"7'0 ½""",4.5,3.6,0.5,13.5,,NBA,2.07
14,15,,Al Jefferson,,C,19.1,"6'10""",263,"7'2 ½""",6.8,3.8,0.9,18.6,,NBA,9.07
15,16,,Kirk Snyder,,SG/SF,20.7,"6'7""",228,"6'9""",5.0,3.0,1.0,38.9,,Russia,0.56
16,17,,Josh Smith,,PF,18.2,"6'8""",221,"7'0""",0.7,0.7,0.0,2.7,,NBA,6.48
17,18,,J.R. Smith,,SG/SF,18.3,"6'7""",227,"6'10""",8.4,2.9,1.9,8.6,,NBA,2.95
18,19,,Dorell Wright,,SF,18.2,"6'7""",210,-,11.5,5.8,1.7,17.8,,EuroLeague,1.83
19,20,,Jameer Nelson,,PG,22,"6'0""",193,"6'2""",5.1,2.2,3.6,9.0,,NBA,2.45
20,21,,Pavel Podkolzine,,C,19.1,"7'5""",303,"7'5 ¾""",1.0,1.0,0.0,1.8,,EuroCup,-0.09
21,22,,Viktor Khryapa,,SF/PF,21.6,"6'9""",235,-,3.7,2.8,2.4,22.4,,VTB United,-0.03
22,23,,Sergei Monia,,SF/PF,20.9,"6'8""",220,-,3.3,1.6,1.5,11.0,,EuroLeague,-0.38
23,24,,Delonte West,,SG,20.6,"6'3""",183,"6'6""",14.8,4.8,3.8,17.1,,G-League,2.04
24,25,,Tony Allen,,SG,22.1,"6'4""",214,"6'9""",4.7,2.1,0.4,8.6,,NBA,2.04
25,26,,Kevin Martin,,SG,21.1,"6'7""",185,-,5.8,1.6,0.7,9.4,,NBA,5.22
26,27,,Sasha Vujacic,,SG,20,"6'7""",205,"6'5 ½""",12.3,4.1,2.8,14.2,,Italy,0.28
27,28,,Beno Udrih,,PG/SG,21.6,"6'4""",199,"6'4 ½""",2.3,1.0,1.0,0.6,,EuroLeague,1.83
28,29,,David Harrison,,C,21.5,"7'0""",260,-,15.5,10.3,1.6,19.0,,China,0.05
29,30,,Anderson Varejao,,PF,21.4,"6'10""",230,-,8.5,6.7,2.8,20.9,,Brazil,2.63
30,31,,Jackson Vroman,,PF/C,22.7,"6'11""",226,"7'0""",14.4,10.4,4.2,19.1,,China,-0.47
31,32,,Peter Ramos,,C,18.8,"7'3""",266,"7'5 ½""",0.0,0.0,0.0,0.0,,Puerto Rico,-0.02
32,33,,Lionel Chalmers,,G,23.3,"6'0""",180,-,11.1,2.0,2.8,11.1,,France,-0.89
33,34,,Donta Smith,,SG/SF,20.3,"6'7""",230,-,10.7,4.9,3.0,17.3,,Italy,0.03
