Season,Team,Tempo,RankTempo,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
2003,"Air Force",55.1348,327,52.8548,327,105.25,111,105.25,111,103.979,192,103.979,192,1.2709,152
2003,Akron,68.5693,167,66.9553,168,110.005,44,110.005,44,110.929,302,110.929,302,-0.9241,178
2003,Alabama,66.1159,262,65.3113,243,110.336,39,110.336,39,95.734,54,95.734,54,14.6019,38
2003,"Alabama A&M",75.452,9,72.2617,13,89.9938,310,89.9938,310,108.247,275,108.247,275,-18.2536,309
2003,"Alabama St.",67.4106,226,64.2493,275,90.9273,303,90.9273,303,100.874,141,100.874,141,-9.9471,257
2003,Albany,67.4107,225,65.9161,209,94.8008,274,94.8008,274,113.315,317,113.315,317,-18.5141,311
2003,"Alcorn St.",73.8411,20,70.4579,43,92.4703,294,92.4703,294,104.261,202,104.261,202,-11.7903,278
2003,American,63.7265,304,62.8647,297,103.561,141,103.561,141,101.616,153,101.616,153,1.94535,146
2003,"Appalachian St.",78.5697,1,76.1439,1,103.524,142,103.524,142,104.217,199,104.217,199,-0.693006,173
2003,Arizona,75.8993,5,72.6598,11,115.556,10,115.556,10,88.7585,8,88.7585,8,26.7972,4
2003,"Arizona St.",69.7437,123,66.9155,169,113.936,18,113.936,18,97.4432,78,97.4432,78,16.4926,30
2003,Arkansas,67.7884,206,65.8289,211,98.0344,243,98.0344,243,95.0805,46,95.0805,46,2.95394,134
2003,"Arkansas Little Rock",67.7962,204,66.0597,205,102.33,163,102.33,163,100.699,138,100.699,138,1.63053,149
2003,"Arkansas Pine Bluff",71.6192,59,67.7429,128,77.2428,327,77.2428,327,102.861,174,102.861,174,-25.6181,322
2003,"Arkansas St.",66.4087,252,66.4835,185,107.67,77,107.67,77,107.194,256,107.194,256,0.475792,160
2003,Army,63.2585,310,62.2476,303,85.5828,321,85.5828,321,111.253,303,111.253,303,-25.6707,323
2003,Auburn,67.9245,196,66.5915,181,107.722,74,107.722,74,94.0971,31,94.0971,31,13.6251,46
2003,"Austin Peay",67.2431,231,64.3823,273,100.653,197,100.653,197,98.0011,86,98.0011,86,2.65211,135
2003,"Ball St.",70.2937,102,70.0639,54,106.477,94,106.477,94,106.822,251,106.822,251,-0.345099,169
2003,Baylor,67.7951,205,65.6457,225,106.622,92,106.622,92,100.65,137,100.65,137,5.97142,102
2003,Belmont,69.4108,133,67.2247,155,103.153,149,103.153,149,102.973,180,102.973,180,0.179732,165
2003,"Bethune Cookman",68.7118,157,67.052,163,89.4249,313,89.4249,313,111.829,309,111.829,309,-22.4045,314
2003,Binghamton,68.0911,188,66.0846,203,96.7062,258,96.7062,258,100.279,129,100.279,129,-3.57252,198
2003,"Birmingham Southern",65.6173,276,63.3982,288,100.466,201,100.466,201,107.056,253,107.056,253,-6.59003,228
2003,"Boise St.",68.3029,178,66.7192,178,95.9844,263,95.9844,263,97.5494,80,97.5494,80,-1.56494,183
2003,"Boston College",69.879,114,68.1628,112,117.695,4,117.695,4,104.395,203,104.395,203,13.2997,49
2003,"Boston University",65.9159,267,64.3703,274,102.373,161,102.373,161,98.736,100,98.736,100,3.63671,125
2003,"Bowling Green",67.5943,216,66.0885,202,98.6994,230,98.6994,230,100.577,134,100.577,134,-1.87748,184
2003,Bradley,70.1248,109,68.6422,93,103.108,152,103.108,152,101.155,145,101.155,145,1.95276,145
2003,Brown,70.4507,96,70.6291,41,105.593,105,105.593,105,104.835,215,104.835,215,0.757978,158
2003,Bucknell,63.6254,305,63.3421,289,91.0534,301,91.0534,301,96.8064,66,96.8064,66,-5.75298,220
2003,Buffalo,67.7625,207,66.8104,175,95.4318,271,95.4318,271,105.758,232,105.758,232,-10.3265,259
2003,Butler,59.4019,325,58.5658,325,115.397,11,115.397,11,99.3058,110,99.3058,110,16.0913,31
2003,BYU,66.1952,261,65.5021,234,109.411,52,109.411,52,91.7263,16,91.7263,16,17.6847,24
2003,"Cal Poly",68.5216,170,69.177,75,98.3689,234,98.3689,234,99.7473,119,99.7473,119,-1.37836,181
2003,"Cal St. Fullerton",60.9814,319,59.8546,320,101.412,181,101.412,181,108.888,284,108.888,284,-7.47564,234
2003,"Cal St. Northridge",68.3776,174,67.7977,126,100.584,198,100.584,198,103.11,183,103.11,183,-2.52632,189
2003,California,69.068,145,65.929,208,109.922,45,109.922,45,96.3301,63,96.3301,63,13.5916,47
2003,Campbell,68.099,186,66.4491,187,92.1562,295,92.1562,295,116.682,324,116.682,324,-24.5255,318
2003,Canisius,70.7964,85,68.5554,97,99.2546,218,99.2546,218,103.024,182,103.024,182,-3.76925,202
2003,Centenary,72.1719,46,68.8532,84,103.112,151,103.112,151,111.71,306,111.71,306,-8.59832,245
2003,"Central Connecticut",64.633,293,61.601,312,101.141,189,101.141,189,109.182,290,109.182,290,-8.04115,238
2003,"Central Michigan",72.7343,36,71.6776,20,109.457,51,109.457,51,99.4438,113,99.4438,113,10.0129,70
2003,"Charleston Southern",66.5215,249,64.9744,255,94.2001,278,94.2001,278,103.3,186,103.3,186,-9.10006,250
2003,Charlotte,67.6302,211,65.7703,217,104.459,125,104.459,125,98.4875,94,98.4875,94,5.97098,103
2003,Chattanooga,71.8661,53,69.2175,72,110.64,36,110.64,36,107.3,258,107.3,258,3.3398,127
2003,"Chicago St.",67.46,222,65.7169,220,93.2199,288,93.2199,288,111.442,305,111.442,305,-18.2217,308
2003,Cincinnati,67.4819,219,66.4149,188,104.967,116,104.967,116,90.2792,13,90.2792,13,14.6876,36
2003,Clemson,66.2893,260,63.6069,285,107.324,82,107.324,82,101.571,152,101.571,152,5.75371,105
2003,"Cleveland St.",67.6268,213,66.1086,200,97.6733,248,97.6733,248,105.793,235,105.793,235,-8.1197,240
2003,"Coastal Carolina",67.4612,221,65.3462,241,98.3622,235,98.3622,235,108.835,283,108.835,283,-10.473,261
2003,Colgate,67.1375,234,66.1643,198,97.4355,251,97.4355,251,105.157,223,105.157,223,-7.72136,235
2003,"College of Charleston",69.7858,122,67.118,161,102.512,159,102.512,159,98.4284,92,98.4284,92,4.08339,120
2003,Colorado,71.7804,55,69.9013,56,109.085,56,109.085,56,93.8165,28,93.8165,28,15.2682,34
2003,"Colorado St.",68.4455,173,67.0964,162,110.554,37,110.554,37,104.589,205,104.589,205,5.96481,104
2003,Columbia,60.6616,321,59.9704,318,82.7475,325,82.7475,325,105.678,230,105.678,230,-22.9302,316
2003,Connecticut,73.3891,26,71.2038,29,111.572,26,111.572,26,92.034,17,92.034,17,19.5375,22
2003,"Coppin St.",60.2578,324,59.4827,321,94.1786,279,94.1786,279,107.358,261,107.358,261,-13.1798,287
2003,Cornell,64.9543,288,64.8585,261,92.4811,293,92.4811,293,107.588,264,107.588,264,-15.1068,293
2003,Creighton,69.3758,136,68.4293,103,112.402,24,112.402,24,94.8579,40,94.8579,40,17.5438,26
2003,Dartmouth,61.0114,317,60.4676,316,95.6121,267,95.6121,267,108.061,271,108.061,271,-12.4491,284
2003,Davidson,74.1398,18,70.2971,48,103.206,148,103.206,148,101.028,143,101.028,143,2.17842,143
2003,Dayton,64.6825,292,64.448,270,116.426,8,116.426,8,101.895,161,101.895,161,14.5315,40
2003,Delaware,69.7989,119,68.9717,79,99.502,212,99.502,212,99.9327,125,99.9327,125,-0.430737,171
2003,"Delaware St.",60.4968,322,59.1777,322,98.0515,242,98.0515,242,108.746,282,108.746,282,-10.6949,264
2003,Denver,68.6293,163,67.2613,153,102.372,162,102.372,162,99.8381,121,99.8381,121,2.53428,136
2003,DePaul,66.9394,240,65.8131,214,105.121,115,105.121,115,95.0855,47,95.0855,47,10.0354,69
2003,Detroit,65.3922,280,64.3973,272,109.554,48,109.554,48,98.9569,105,98.9569,105,10.5968,63
