Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
2018,Abilene Christian,70.6115,103,68.636,155,99.6101,266,98.1501,298,102.837,143,106.811,205,-8.66108,262
2018,Air Force,67.39,267,65.9731,284,98.1536,289,100.512,250,107.392,256,106.761,202,-6.24918,237
2018,Akron,69.0083,201,67.7651,198,102.02,224,101.785,234,108.949,282,109.869,270,-8.08352,255
2018,Alabama,70.133,128,68.7051,151,102.977,197,108.652,106,100.924,89,95.2375,20,13.415,57
2018,Alabama A&M,68.1486,235,65.7538,293,88.8054,348,86.5863,350,111.767,324,114.897,331,-28.3106,351
2018,Alabama St.,70.5236,106,68.7607,145,97.0076,306,95.8279,322,110.84,314,115.684,337,-19.8563,339
2018,Albany,67.0375,285,66.1695,272,109.208,70,107.118,134,101.284,100,105.413,180,1.70533,151
2018,Alcorn St.,69.5479,167,67.9821,186,96.5598,315,94.9694,330,109.852,292,114.4,325,-19.4308,336
2018,American,67.212,275,66.5446,256,96.8434,310,95.6159,324,109.356,288,111.76,307,-16.1443,328
2018,Appalachian St.,71.0692,88,70.0633,75,102.498,209,103.41,199,105.095,207,107.519,224,-4.10934,208
2018,Arizona,68.6937,212,67.1464,224,115.513,10,118.049,15,102.79,140,100.352,83,17.697,28
2018,Arizona St.,72.243,48,71.3172,43,113.45,22,116.72,18,103.163,155,102.592,123,14.1278,49
2018,Arkansas,71.3199,76,69.6783,91,111.563,35,116.346,20,105.47,216,101.653,106,14.6933,44
2018,Arkansas Pine Bluff,68.4359,219,67.4813,211,95.3121,328,93.5599,339,104.072,181,110.007,275,-16.4469,329
2018,Arkansas St.,70.1967,123,69.5437,99,102.878,199,104.514,182,112.12,328,115.077,333,-10.5628,281
2018,Army,71.3989,72,70.4045,67,102.983,196,99.8361,259,104.926,204,108.525,245,-8.68905,264
2018,Auburn,73.396,26,72.5787,18,111.464,36,115.437,26,99.8539,62,96.7441,37,18.6933,23
2018,Austin Peay,69.2613,183,69.2231,115,103.61,179,104.956,172,104.836,201,107.043,211,-2.08756,189
2018,Ball St.,71.1069,87,69.904,83,103.972,171,103.269,202,102.827,141,103.348,141,-0.0787585,173
2018,Baylor,68.34,224,66.6906,249,107.882,95,111.486,62,100.487,80,95.4628,23,16.023,34
